Volume_(BTC),Volume_(Currency),Weighted_Price
0.1933,223.322739,1155.3168081
9.877,11218.425744,1135.8130752
14.71503962,17066.211634,1159.7802028
0.1123,133.186488,1185.988317
1.1388,1354.835412,1189.7044362
0.7547,895.2392,1186.2186299
0.53052079,642.27898041,1210.6575134
0.73881206,893.13876073,1208.8849236
5.4207,6597.588453,1217.1100509
4.06922848,4814.6509458,1183.1852081
0.9435,1127.671711,1195.2005416
2.84296163,3351.7153163,1178.9520059
2.7095,3218.9271546,1188.015189
0.2852,334.630402,1173.3183801
3.95065236,4729.5278147,1197.151099
0.30792254,368.04133671,1195.24
1.89263972,2307.9406622,1219.4294761
2.24730482,2806.8672932,1248.9926904
